Language,Category,Aspect,Count,Negative,Neutral,Positive,Negative_Probability,Neutral_Probability,Positive_Probability
English,Professor,germany,122,58,50,14,0.45747053030817236,0.37979128816332974,0.16273818444460628
English,Professor,job,126,51,59,16,0.4135938337930138,0.38914980088907575,0.19725636554704531
English,Professor,people,76,39,23,14,0.49582009963495166,0.3154907654235629,0.1886891347454174
English,Professor,position,99,26,58,15,0.30555861277712715,0.48837186930456544,0.20606951179415586
English,Professor,postdoc,63,13,34,16,0.29617956718282096,0.4353518379586084,0.2684685849392461
English,Professor,professor,59,16,33,10,0.3205759964125641,0.4504543254309792,0.22896967138463659
English,Professor,research,86,17,52,17,0.28022112916115405,0.46481328960074936,0.2549655768630463
English,Professor,researcher,62,18,38,6,0.3750856758485879,0.4121786066361012,0.212735716794287
English,Professor,student,61,20,26,15,0.3931073709772747,0.3427315853902551,0.26416104151027614
English,Professor,system,102,49,43,10,0.5155787258682882,0.33192480627593457,0.15249646635835656
English,Professor,term,52,14,35,3,0.37689789943397045,0.4372587368751948,0.18584336960115108
English,Professor,time,91,21,57,13,0.3351261721371294,0.45042192350540844,0.21445191013984952
English,Professor,university,93,34,49,10,0.41422417868048916,0.4001996936576982,0.1855761288234623
English,Professor,work,138,52,58,28,0.38546009861823655,0.3647046898748132,0.24983520763318817
English,Professor,year,128,28,78,22,0.3063221587799489,0.44242458761436865,0.2512532503824332
English,Unknown,academia,110,63,39,8,0.5176379653540525,0.33912589726122944,0.14323612675917416
English,Unknown,amp,262,118,99,45,0.4369050623237632,0.35974870002224246,0.20334624212576458
English,Unknown,germany,98,54,34,10,0.5144301640744112,0.34146891714891003,0.14410092089591278
English,Unknown,passport,61,41,17,3,0.5856228547750927,0.3210632110350445,0.09331393583876184
English,Unknown,people,55,40,11,4,0.5814883855256168,0.30971908352591776,0.10879252624105319
English,Unknown,research,62,20,33,9,0.3539098540260907,0.444055343707723,0.20203480286703954
English,Unknown,scholar,55,24,27,4,0.4419960238716819,0.3831572725014253,0.17484671341424635
English,Unknown,work,128,48,62,18,0.4080657818267355,0.38681792007992044,0.20511629786778937
English,Unknown,year,67,25,38,4,0.3879525288383462,0.4388102399213101,0.17323722087069232
German,Others,antwort,70,26,37,7,0.3863387987815908,0.434408830425569,0.1792523805850318
German,Others,arbeit,273,91,135,47,0.36294359251884095,0.4287596179083699,0.2082967901834365
German,Others,arbeitsbedingung,261,80,156,25,0.3960925374836643,0.4533719448051576,0.1505355223035618
German,Others,arbeitsverhältnis,67,23,43,1,0.3776646391002099,0.5350170370691748,0.0873183164912373
German,Others,arbeitsvertrag,57,9,45,3,0.23033774631065232,0.6548604831883782,0.11480177172639386
German,Others,bedingung,69,30,35,4,0.4529398817946945,0.409147578952969,0.13791254450283616
German,Others,befristung,150,50,97,3,0.41063542592028773,0.4920663898686568,0.0972981797593335
German,Others,beitrag,86,16,44,26,0.23262750160295598,0.46864527013412743,0.29872722629197807
German,Others,bereich,69,14,47,8,0.2857060189480367,0.582818057442057,0.13147592294853233
German,Others,berlin,66,14,44,8,0.307371389713477,0.5067829157818448,0.18584568904374127
German,Others,beschäftigung,66,12,52,2,0.30570790764283046,0.5609707188312755,0.13332138204890664
German,Others,bildung,81,23,52,6,0.34622978819189243,0.4884637531215026,0.16530646169903096
German,Others,bmbf,73,35,33,5,0.45637977995896994,0.3872820366020889,0.15633817903748518
German,Others,chance,70,22,30,18,0.34534430610282074,0.39170706729803767,0.2629486258540834
German,Others,daueraufgabe,141,22,103,16,0.24395388113797128,0.6013067373411453,0.15473937949311012
German,Others,dauerstelle,62,26,35,1,0.4348244212808148,0.4690071563086202,0.09616841823463475
German,Others,debatte,119,35,67,17,0.32183737039346905,0.5105567745739171,0.1676058527943091
German,Others,deutschland,147,49,91,7,0.41768831430243797,0.457137032621065,0.12517464957928573
German,Others,diskussion,110,26,65,19,0.28379580329426307,0.5116794412108985,0.2045247527178038
German,Others,druck,69,36,26,7,0.47582839780311653,0.3687438220325587,0.15542778162204698
German,Others,entfristung,87,37,47,3,0.4316605608268031,0.45782821342862884,0.11051122498452316
German,Others,erfahrung,84,17,60,7,0.2929590729819167,0.5560557098970527,0.15098521694363579
German,Others,familie,64,31,27,6,0.4394620247767307,0.4097165442071855,0.15082144143525508
German,Others,folge,76,16,54,6,0.2572745394304786,0.5644538077574811,0.17827166061799382
German,Others,forderung,87,19,60,8,0.29946752247967934,0.5504226303477396,0.15010984805037916
German,Others,forschung,308,81,204,23,0.32410554410043085,0.5204191503973751,0.15547530791818995
German,Others,frage,109,38,65,6,0.38415747057270566,0.4961521598860758,0.11969036968647062
German,Others,frau,58,26,31,1,0.4434630822004943,0.46234466829176607,0.09419224619993871
German,Others,geld,89,45,41,3,0.4695508782280965,0.42017313411061685,0.11027598270120911
German,Others,geschichte,51,13,32,6,0.30840270663155056,0.514060816198003,0.17753648714107623
German,Others,gesellschaft,62,17,40,5,0.3412767425780334,0.5130622371310188,0.14566102089180097
German,Others,gesetz,78,27,47,4,0.3848675378622153,0.4829854000932895,0.13214706059975115
German,Others,grund,70,31,31,8,0.4511472453496286,0.39345518802957874,0.15539756326803134
German,Others,hanna,196,57,112,27,0.35543640571817453,0.44699612111613457,0.19756747706204042
German,Others,hochschule,384,104,259,21,0.3487039171741344,0.5296855538229769,0.12161052774899868
German,Others,idee,84,22,33,29,0.2951157105133114,0.3562480918176117,0.34863619214766434
German,Others,innovation,62,14,29,19,0.3279254539238829,0.40164671558886766,0.27042782291649803
German,Others,jahr,577,158,356,63,0.33170342467970615,0.49028333366252935,0.17801324280375933
German,Others,job,111,45,56,10,0.4047193597364533,0.43213917672432756,0.1631414603089561
German,Others,karriere,100,33,59,8,0.36315202839672567,0.4919063764438033,0.14494159681722518
German,Others,kind,75,35,34,6,0.4482118235031764,0.41351932421326637,0.13826885410894946
German,Others,kollege,127,35,69,23,0.34214084759706587,0.43029795642795526,0.22756119606297784
German,Others,kommentar,52,25,22,5,0.4751962083033644,0.3671766451488321,0.1576271475686763
German,Others,land,135,47,82,6,0.39242050095840736,0.481999655675005,0.1255798445048707
German,Others,lehre,72,23,44,5,0.3821933523544835,0.4455177492151658,0.17228890031886596
German,Others,leute,116,59,46,11,0.48270686648400696,0.3754032674598797,0.14188987110612974
German,Others,mensch,218,107,91,20,0.47896697133813704,0.3741706291538313,0.14686240257114305
German,Others,mitarbeiter,93,16,73,4,0.29328939587038044,0.5914965796294391,0.11521402668328051
German,Others,mittelbau,159,47,102,10,0.36872406409315345,0.5003964760393467,0.13087946259117908
German,Others,monat,96,27,62,7,0.31587791252726066,0.5349343615816906,0.14918772946111855
German,Others,nachwuchs,93,31,53,9,0.39105373817265676,0.425710505235099,0.18323575117455052
German,Others,personal,69,22,45,2,0.3608210066846315,0.5254627718873646,0.11371621879600523
German,Others,perspektive,121,22,87,12,0.2721211082217368,0.5536272884154123,0.17425160750377275
German,Others,politik,75,31,39,5,0.4556293358405431,0.42509618068734806,0.11927448538442448
German,Others,postdoc,93,26,62,5,0.3295821768622244,0.5424321036265102,0.12798571860998545
German,Others,problem,217,158,50,9,0.6005566592761723,0.3282415530373973,0.07120178520576466
German,Others,prof,83,14,60,9,0.28736939234098036,0.5319070668374918,0.1807235497083649
German,Others,professor,69,20,43,6,0.38194705130181444,0.4770798563309338,0.1409730941894045
German,Others,professur,96,28,67,1,0.3605048354559888,0.5402810294957211,0.09921413869597012
German,Others,projekt,102,24,70,8,0.28258665189073945,0.5471945048912483,0.17021884015012603
German,Others,promotion,182,53,110,19,0.3292922231030988,0.5164141289398565,0.15429365382130653
German,Others,reform,101,34,58,9,0.36600307412076705,0.45399440028289756,0.1800025291279843
German,Others,semester,52,15,32,5,0.3167497400337687,0.5158142581438789,0.16743599745230028
German,Others,situation,97,40,48,9,0.42374687094587027,0.44881408554069774,0.12743904378226734
German,Others,stelle,151,54,90,7,0.3808588043891436,0.47936384101083734,0.13977735757901766
German,Others,studium,146,43,92,11,0.33543523346163223,0.5035940641920044,0.16097070313097064
German,Others,stunde,67,14,49,4,0.2817855902683378,0.5919371831105716,0.1262772273995093
German,Others,system,194,100,73,21,0.4885138972499168,0.3581143329592095,0.15337176853790876
German,Others,tag,113,27,64,22,0.307520076500631,0.4432337728155925,0.24924615285960972
German,Others,thema,238,38,161,39,0.24098632491718067,0.558975674509376,0.200038005128315
German,Others,thread,79,14,37,28,0.25168796501393553,0.41961437077084673,0.3286976618810168
German,Others,uhr,184,11,158,15,0.16026547508638186,0.6771736252729011,0.1625608990738249
German,Others,un,51,23,27,1,0.45517196674265115,0.4328443285296945,0.11198369985190672
German,Others,uni,420,148,248,24,0.39562472886450234,0.48294553119866623,0.121429739271601
German,Others,universität,175,43,122,10,0.33995302985821446,0.5477532520145177,0.11229371940451005
German,Others,unsicherheit,54,49,4,1,0.7491510896771042,0.19789970235002258,0.052949211905123965
German,Others,vertrag,227,62,156,9,0.32822274605411267,0.5465667018839179,0.12521055089679053
German,Others,verwaltung,53,25,24,4,0.4510437365410463,0.42891169866582135,0.12004456560145005
German,Others,video,63,16,35,12,0.29504725928344416,0.4573628769389221,0.2475898671481344
German,Others,vorschlag,58,14,28,16,0.3059216679940963,0.39570112898945803,0.29837719738033824
German,Others,wissenschaft,699,202,454,43,0.3518142295742836,0.5226103118614152,0.12557545650846325
German,Others,wissenschaftler,326,113,192,21,0.3932898854893958,0.4868324050234139,0.11987770890439942
German,Others,wissenschaftlerin,60,22,33,5,0.3778857224310438,0.4677627501388391,0.15435152184218165
German,Others,wissenschaftssystem,75,31,39,5,0.45816588153441745,0.42373804181814195,0.1180960769951343
German,Others,woche,92,22,54,16,0.30485045867364685,0.4753168025256499,0.21983273596624314
German,Others,wort,58,25,25,8,0.4238940330286478,0.3825117591768503,0.19359421285254685
German,Others,zeit,235,70,131,34,0.36464548381243617,0.4345058355401171,0.20084868109923726
German,Others,zukunft,70,16,43,11,0.2993952238133975,0.4952846619167498,0.2053201105445623
German,PD,arbeit,52,24,21,7,0.458503358066082,0.3805128632543179,0.16098377640502382
German,PD,befristung,55,21,28,6,0.3890138963068073,0.4625808881087737,0.14840521363710812
German,PD,jahr,112,39,60,13,0.3557694908231497,0.4839973546830671,0.1602331584519041
German,PD,leute,56,42,13,1,0.5933350153001291,0.31384456869480865,0.09282040709097465
German,PD,problem,71,47,24,0,0.5899685171078628,0.34950773675047175,0.06052374843717877
German,PD,professur,71,36,27,8,0.44664914223929525,0.4344590759088456,0.1188917778511072
German,PD,system,71,48,20,3,0.6168640071237591,0.30690084775568727,0.07623513823401337
German,PD,vertrag,52,23,24,5,0.44264745640640074,0.43605413739211285,0.1212984004702705
German,PD,wissenschaft,161,70,83,8,0.44635840706666063,0.4420022034543271,0.11163939191433395
German,PhD Student,arbeit,86,37,33,16,0.4105363912490565,0.3567267072408698,0.23273690342686545
German,PhD Student,arbeitsbedingung,52,15,29,8,0.3587324645800086,0.48881630040705204,0.1524512405113245
German,PhD Student,deutschland,58,20,30,8,0.4236827635302626,0.40294181902346937,0.1733754186666217
German,PhD Student,forschung,110,39,61,10,0.3819571047343991,0.4580473785034635,0.15999551163139666
German,PhD Student,hanna,61,21,28,12,0.35115178065282887,0.4343721702328471,0.21447604778604426
German,PhD Student,hochschule,71,38,27,6,0.48302486622837226,0.38113919341228375,0.13583594005764787
German,PhD Student,jahr,284,83,171,30,0.34806090329026035,0.4723236694092482,0.17961542640196182
German,PhD Student,leute,57,32,17,8,0.5328251369166792,0.3076442051352116,0.15953064997468075
German,PhD Student,mensch,73,39,27,7,0.468682631901274,0.3893253732829878,0.14199199137112045
German,PhD Student,monat,51,18,27,6,0.3547460129301922,0.4614530895270553,0.18380089734187893
German,PhD Student,problem,89,69,18,2,0.6495494926243686,0.2906376870160692,0.059812820181669106
German,PhD Student,professur,57,18,31,8,0.38238541729617537,0.4699386605306676,0.14767592145424138
German,PhD Student,promotion,90,36,47,7,0.3885639012687736,0.47050945340759226,0.14092663690033883
German,PhD Student,stelle,72,28,36,8,0.40730681316927075,0.42172048820389635,0.17097270099394432
German,PhD Student,system,86,50,25,11,0.5514192718925864,0.31730112149705025,0.13127960512674475
German,PhD Student,thema,77,24,40,13,0.33883369890610116,0.44160895383396703,0.21955735374290444
German,PhD Student,uni,135,52,62,21,0.3954117322685542,0.43283515798824806,0.17175310528664672
German,PhD Student,vertrag,89,25,58,6,0.3267137225549877,0.5335156190093984,0.13977065974365122
