Category,Language,Aspect,Count
PostDoc,German,universität,309
PostDoc,German,urlaub,52
PostDoc,German,verantwortung,59
PostDoc,German,vertrag,253
PostDoc,German,verwaltung,53
PostDoc,German,video,83
PostDoc,German,vorschlag,109
PostDoc,German,wirtschaft,79
PostDoc,German,wissenschaft,844
PostDoc,German,wissenschaftler,428
PostDoc,German,wissenschaftlerin,63
PostDoc,German,wissenschaftssystem,161
PostDoc,German,woche,163
PostDoc,German,wort,93
PostDoc,German,zeit,363
PostDoc,German,zukunft,72
PostDoc,English,academia,331
PostDoc,English,academic,73
PostDoc,English,amp,226
PostDoc,English,career,128
PostDoc,English,change,60
PostDoc,English,condition,103
PostDoc,English,contract,132
PostDoc,English,day,56
PostDoc,English,discussion,57
PostDoc,English,germany,187
PostDoc,English,job,159
PostDoc,English,life,70
PostDoc,English,people,123
PostDoc,English,position,136
PostDoc,English,postdoc,103
PostDoc,English,precarity,68
PostDoc,English,problem,83
PostDoc,English,research,168
PostDoc,English,researcher,96
PostDoc,English,scholar,82
PostDoc,English,science,79
PostDoc,English,scientist,69
PostDoc,English,student,73
PostDoc,English,system,186
PostDoc,English,term,85
PostDoc,English,thing,59
PostDoc,English,thread,68
PostDoc,English,time,146
PostDoc,English,university,101
PostDoc,English,way,62
PostDoc,English,work,141
PostDoc,English,year,198
Professor,German,antrag,93
Professor,German,antwort,87
Professor,German,arbeit,260
Professor,German,arbeitsbedingung,183
Professor,German,argument,99
Professor,German,artikel,55
Professor,German,ausland,79
Professor,German,bedingung,76
Professor,German,befristung,132
Professor,German,beitrag,88
Professor,German,beruf,59
Professor,German,bewerbung,73
Professor,German,bmbf,60
Professor,German,buch,53
Professor,German,chance,106
Professor,German,dauerstelle,86
Professor,German,debatte,100
Professor,German,deutschland,138
Professor,German,diskussion,133
Professor,German,drittmittel,89
Professor,German,druck,63
Professor,German,entfristung,73
Professor,German,entscheidung,59
Professor,German,erfahrung,67
Professor,German,fach,72
Professor,German,familie,61
Professor,German,finanzierung,56
Professor,German,forderung,51
Professor,German,forschung,373
Professor,German,frage,125
Professor,German,frau,63
Professor,German,geld,135
Professor,German,generation,55
Professor,German,gesellschaft,59
Professor,German,gesetz,64
Professor,German,gespräch,56
Professor,German,glück,56
Professor,German,grund,80
Professor,German,habil,53
Professor,German,hanna,229
Professor,German,hochschule,241
Professor,German,idee,72
Professor,German,innovation,70
Professor,German,jahr,690
Professor,German,job,89
Professor,German,karriere,142
Professor,German,kind,93
Professor,German,kollege,135
Professor,German,kommentar,54
Professor,German,land,108
Professor,German,lehre,127
Professor,German,leute,203
Professor,German,liebe,53
Professor,German,lösung,78
Professor,German,mensch,170
Professor,German,mitarbeiter,82
Professor,German,mittelbau,75
Professor,German,monat,114
Professor,German,möglichkeit,64
Professor,German,nachwuchs,122
Professor,German,person,53
Professor,German,perspektive,134
Professor,German,politik,77
Professor,German,post,52
Professor,German,postdoc,165
Professor,German,problem,296
Professor,German,prof,59
Professor,German,professor,102
Professor,German,professur,309
Professor,German,projekt,130
Professor,German,promotion,251
Professor,German,punkt,55
Professor,German,qualifikation,57
Professor,German,reform,83
Professor,German,sicherheit,56
Professor,German,sinn,54
Professor,German,situation,80
Professor,German,stelle,265
Professor,German,studium,76
Professor,German,system,268
Professor,German,tag,77
Professor,German,thema,156
Professor,German,thread,79
Professor,German,track,87
Professor,German,un,71
Professor,German,uni,391
Professor,German,universität,134
Professor,German,unsicherheit,54
Professor,German,vertrag,164
Professor,German,video,65
Professor,German,vorschlag,78
Professor,German,wissenschaft,662
Professor,German,wissenschaftler,263
Professor,German,wissenschaftssystem,171
Professor,German,woche,77
Professor,German,wort,54
Professor,German,zeit,298
Professor,English,academia,181
Professor,English,academic,74
Professor,English,amp,142
Professor,English,career,83
Professor,English,colleague,54
Professor,English,contract,67
Professor,English,germany,122
Professor,English,job,126
Professor,English,people,76
Professor,English,position,97
Professor,English,postdoc,61
Professor,English,professor,59
Professor,English,research,83
Professor,English,researcher,62
Professor,English,student,61
Professor,English,system,102
Professor,English,term,51
Professor,English,time,91
Professor,English,university,93
Professor,English,work,62
Professor,English,year,128
Unknown,German,arbeit,200
Unknown,German,arbeitsbedingung,156
Unknown,German,arbeitsvertrag,75
Unknown,German,befristung,101
Unknown,German,beitrag,59
Unknown,German,bereich,69
Unknown,German,bildung,62
Unknown,German,chance,70
Unknown,German,deutschland,112
Unknown,German,diskussion,63
Unknown,German,druck,52
Unknown,German,erfahrung,60
Unknown,German,familie,62
Unknown,German,forschung,256
Unknown,German,frage,85
Unknown,German,geld,139
Unknown,German,gesellschaft,74
Unknown,German,gesetz,58
Unknown,German,grund,64
Unknown,German,hanna,187
Unknown,German,hochschule,147
Unknown,German,jahr,648
Unknown,German,job,157
Unknown,German,karriere,98
Unknown,German,kind,104
Unknown,German,kollege,87
Unknown,German,land,72
Unknown,German,leute,157
Unknown,German,mensch,213
Unknown,German,mittelbau,84
Unknown,German,monat,116
Unknown,German,nachwuchs,67
Unknown,German,person,51
Unknown,German,perspektive,78
Unknown,German,politik,68
Unknown,German,post,54
Unknown,German,postdoc,71
Unknown,German,problem,232
Unknown,German,prof,56
Unknown,German,professor,78
Unknown,German,professur,112
Unknown,German,projekt,69
Unknown,German,promotion,198
Unknown,German,sache,53
Unknown,German,semester,64
Unknown,German,situation,59
Unknown,German,stelle,183
Unknown,German,studium,147
Unknown,German,stunde,53
Unknown,German,system,150
Unknown,German,tag,123
Unknown,German,thema,151
Unknown,German,uhr,51
Unknown,German,uni,399
Unknown,German,universität,130
Unknown,German,vertrag,196
Unknown,German,wirtschaft,72
Unknown,German,wissenschaft,469
Unknown,German,wissenschaftler,201
Unknown,German,wissenschaftssystem,53
Unknown,German,woche,95
Unknown,German,zeit,190
Unknown,German,zukunft,55
Unknown,English,academia,104
Unknown,English,amp,262
Unknown,English,germany,98
Unknown,English,passport,61
Unknown,English,people,55
Unknown,English,research,62
Unknown,English,scholar,55
Unknown,English,work,63
Unknown,English,year,67
