Category,Language,Aspect,Count,Negative,Neutral,Positive
Prof,German,thread,41,8,8,25
Prof,German,job,40,11,15,14
Prof,German,hochschulen,37,31,0,6
Prof,German,promotion,33,20,7,6
Prof,German,situation,33,27,6,0
Prof,German,punkt,30,12,9,9
Prof,German,workshop,29,0,29,0
Prof,German,personal,29,20,6,3
Prof,German,reform,28,17,6,5
Prof,German,arbeit,27,19,0,8
Prof,German,diskussion,27,19,8,0
Prof,German,profs,23,14,2,7
Prof,German,ministerin,22,17,3,2
Prof,German,mitarbeiter,22,13,6,3
Prof,German,artikel,22,5,3,14
Prof,German,forschung,22,10,1,11
Prof,German,zeit,21,16,4,1
Prof,German,wissenschaftssystem,21,17,1,3
Prof,German,thema,20,10,6,4
Prof,German,debatte,20,11,6,3
Prof,German,wissenschaftler,20,16,0,4
Prof,German,finanzierung,20,15,4,1
Prof,German,unis,19,17,2,0
Prof,German,prof,19,11,2,6
Prof,German,kosten,18,18,0,0
Prof,German,argument,18,15,3,0
Prof,German,grundfinanzierung,17,14,2,1
Prof,German,professoren,17,13,2,2
Prof,German,gesetz,16,13,2,1
Prof,German,argumente,16,14,0,2
Prof,German,chef,16,11,3,2
Prof,German,leben,16,9,6,1
Prof,German,interview,15,2,1,12
Prof,German,bedingungen,15,11,2,2
Prof,German,person,14,12,1,1
Prof,German,projekt,14,10,3,1
Prof,German,promovierenden,14,13,1,0
Prof,German,beitrag,13,4,2,7
Prof,German,vertrag,13,7,4,2
Prof,German,idee,13,6,3,4
Prof,German,bund,13,5,6,2
Prof,German,kolleg,13,8,1,4
Prof,German,menschen,13,5,2,6
Prof,German,karriere,12,7,4,1
Prof,German,frage,12,8,1,3
Prof,German,weg,12,7,4,1
Prof,German,problem,12,10,2,0
Prof,German,kinder,12,5,6,1
Prof,German,uni,11,11,0,0
Prof,German,projekte,11,9,1,1
Prof,German,systems,11,11,0,0
Prof,German,community,11,3,6,2
Prof,German,ausbildung,11,5,2,4
Prof,German,nachwuchs,11,5,4,2
Prof,German,bezahlung,11,6,0,5
Prof,German,dauerstellen,11,10,1,0
Others,English,hanna,38,5,17,16
Others,English,staff,20,14,4,2
Others,English,system,15,13,1,1
Others,English,jobs,15,7,2,6
Others,English,position,12,2,6,4
Others,German,system,106,92,8,6
Others,German,wissenschaft,82,51,16,15
Others,German,arbeitsbedingungen,81,60,0,21
Others,German,stelle,76,54,15,7
Others,German,job,59,22,27,10
Others,German,politik,58,38,15,5
Others,German,lehre,57,39,4,14
Others,German,geld,55,40,11,4
Others,German,situation,54,36,16,2
Others,German,video,51,25,18,8
Others,German,stellen,50,45,4,1
Others,German,hanna,42,20,16,6
Others,German,thread,38,2,8,28
Others,German,reform,37,20,8,9
Others,German,personal,36,21,5,10
Others,German,debatte,36,22,12,2
Others,German,thema,32,11,18,3
Others,German,promotion,31,16,12,3
Others,German,leute,31,19,7,5
Others,German,ministerin,30,26,3,1
Others,German,hochschulen,30,23,2,5
Others,German,arbeit,29,13,3,13
Others,German,professor,27,18,6,3
Others,German,wissenschaftler,25,16,6,3
Others,German,mitarbeiter,24,18,2,4
Others,German,türchen,24,23,0,1
Others,German,artikel,23,5,8,10
Others,German,diskussion,22,7,8,7
Others,German,lage,22,19,3,0
Others,German,punkt,21,7,10,4
Others,German,bezahlung,21,16,3,2
Others,German,grundfinanzierung,19,16,1,2
Others,German,verträge,19,18,1,0
Others,German,bedingungen,18,15,1,2
Others,German,jobs,18,12,2,4
Others,German,weg,18,10,6,2
Others,German,bildung,18,10,0,8
