Category,Language,Aspect,Count,Negative,Neutral,Positive
PostDoc,English,profs,1,1,0,0
PostDoc,English,program,1,0,1,0
PostDoc,English,record,1,1,0,0
PostDoc,English,puh,1,1,0,0
PostDoc,English,reasonable working conditions,1,0,0,1
PostDoc,English,quality research,1,0,0,1
PostDoc,English,quality,1,1,0,0
PostDoc,English,qualified,1,1,0,0
PostDoc,English,putin,1,1,0,0
PostDoc,English,prospect,1,1,0,0
PostDoc,English,rechtsanspruch,1,1,0,0
PostDoc,English,a,1,0,0,1
PostDoc,English,professur,1,1,0,0
PostDoc,English,only,1,0,1,0
PostDoc,English,passport,1,0,1,0
PostDoc,English,part time job,1,0,1,0
PostDoc,English,part time,1,1,0,0
PostDoc,English,paris,1,0,0,1
PostDoc,English,papers,1,0,0,1
PostDoc,English,pamela davis,1,0,1,0
PostDoc,English,paid jobs,1,0,0,1
PostDoc,English,paid,1,0,1,0
PostDoc,English,p fleming,1,0,1,0
PostDoc,English,or michael sandel what,1,0,1,0
PostDoc,English,online,1,0,1,0
PostDoc,English,professorship,1,0,1,0
PostDoc,English,on the kurds,1,0,1,0
PostDoc,English,on,1,0,0,1
PostDoc,English,office,1,1,0,0
PostDoc,English,offer,1,1,0,0
PostDoc,English,off,1,1,0,0
PostDoc,English,of germany,1,0,0,1
PostDoc,English,number,1,1,0,0
PostDoc,English,not profs,1,0,1,0
PostDoc,English,nobody,1,0,1,0
PostDoc,English,no law,1,1,0,0
PostDoc,English,pattern,1,0,1,0
PostDoc,English,pay better work life balance,1,0,0,1
PostDoc,English,permanent contract,1,0,1,0
PostDoc,English,permanent residence permit,1,0,1,0
PostDoc,English,profession,1,1,0,0
PostDoc,English,process,1,0,1,0
PostDoc,English,problems,1,0,1,0
PostDoc,English,prices,1,1,0,0
PostDoc,English,price,1,1,0,0
PostDoc,English,pressure,1,0,0,1
PostDoc,English,president,1,0,1,0
PostDoc,English,postdocs,1,1,0,0
PostDoc,English,politics,1,0,1,0
PostDoc,English,policy amp institutional changes,1,0,0,1
PostDoc,English,podcast,1,0,0,1
PostDoc,English,pm,1,1,0,0
PostDoc,English,please support,1,0,0,1
PostDoc,English,rent,1,0,1,0
PostDoc,English,pic,1,1,0,0
PostDoc,English,pi,1,1,0,0
PostDoc,English,photo credit,1,1,0,0
PostDoc,English,phew,1,0,1,0
PostDoc,English,phd students,1,1,0,0
PostDoc,English,pets,1,0,1,0
PostDoc,English,personal money,1,1,0,0
PostDoc,English,piece,1,0,0,1
PostDoc,English,should peer,1,1,0,0
PostDoc,English,report,1,0,1,0
PostDoc,English,vibes,1,0,0,1
PostDoc,English,versuch,1,0,0,1
PostDoc,English,variance,1,1,0,0
PostDoc,English,vacancies,1,0,0,1
PostDoc,English,usa,1,0,1,0
PostDoc,English,up,1,0,1,0
PostDoc,English,university of california,1,1,0,0
PostDoc,English,under,1,0,1,0
PostDoc,English,twitter philosophy,1,0,1,0
PostDoc,English,tweet,1,0,1,0
PostDoc,English,trump,1,1,0,0
PostDoc,English,trend,1,0,0,1
PostDoc,English,trap,1,1,0,0
PostDoc,English,trained professionals,1,0,0,1
PostDoc,English,traffic,1,0,0,1
PostDoc,English,tools,1,1,0,0
PostDoc,English,tom,1,1,0,0
PostDoc,English,tina,1,1,0,0
PostDoc,English,tim burton,1,0,1,0
PostDoc,English,things,1,1,0,0
PostDoc,English,they say comments,1,1,0,0
PostDoc,English,theme,1,0,1,0
PostDoc,English,the philosophy job market,1,1,0,0
PostDoc,English,the ministry,1,1,0,0
PostDoc,English,the mentioned slack channel,1,0,0,1
PostDoc,English,the cuts,1,1,0,0
PostDoc,English,the accommodations,1,1,0,0
PostDoc,English,that,1,1,0,0
PostDoc,English,vested,1,0,0,1
PostDoc,English,videos,1,1,0,0
PostDoc,English,representation,1,0,0,1
PostDoc,English,volume,1,0,1,0
PostDoc,English,yes,1,0,0,1
PostDoc,English,years,1,0,1,0
PostDoc,English,yarn,1,0,1,0
PostDoc,English,wort,1,0,1,0
PostDoc,English,world full,1,0,0,1
PostDoc,English,workload,1,1,0,0
PostDoc,English,work model,1,1,0,0
PostDoc,English,work hours,1,0,1,0
PostDoc,English,work environments,1,1,0,0
PostDoc,English,words,1,1,0,0
PostDoc,English,word,1,0,0,1
PostDoc,English,wood,1,0,0,1
PostDoc,English,with barbara thies,1,0,1,0
PostDoc,English,whole higher education,1,0,0,1
PostDoc,English,white,1,1,0,0
PostDoc,English,when tenure,1,1,0,0
PostDoc,English,what,1,0,1,0
PostDoc,English,well academia,1,1,0,0
PostDoc,English,we,1,1,0,0
PostDoc,English,water temperature,1,1,0,0
PostDoc,English,water,1,0,1,0
PostDoc,English,watch,1,0,0,1
PostDoc,English,was,1,1,0,0
PostDoc,English,waiting line,1,1,0,0
PostDoc,English,wait,1,1,0,0
PostDoc,English,wage,1,0,1,0
PostDoc,English,vs,1,0,0,1
PostDoc,English,than of our,1,0,1,0
PostDoc,English,text,1,0,0,1
PostDoc,English,terrible market,1,1,0,0
PostDoc,English,teilzeit,1,1,0,0
PostDoc,English,services,1,0,0,1
PostDoc,English,sergey,1,0,0,1
PostDoc,English,september,1,0,1,0
PostDoc,English,seminars,1,0,0,1
PostDoc,English,selection process,1,1,0,0
PostDoc,English,selection,1,0,0,1
PostDoc,English,seats,1,1,0,0
PostDoc,English,seat,1,0,1,0
PostDoc,English,script code,1,0,1,0
PostDoc,English,scientific workforce,1,0,0,1
PostDoc,English,scientific careers,1,1,0,0
PostDoc,English,scholarship,1,0,0,1
PostDoc,English,schedule,1,1,0,0
PostDoc,English,scarcity of permanent positions,1,1,0,0
PostDoc,English,salaries,1,0,0,1
PostDoc,English,safety nets,1,1,0,0
PostDoc,English,safe job,1,0,0,1
PostDoc,English,rules to,1,1,0,0
PostDoc,English,rule,1,1,0,0
PostDoc,English,round ann,1,0,0,1
PostDoc,English,rose,1,0,1,0
PostDoc,English,review,1,0,1,0
