Language,Category,Aspect,Count,Negative,Neutral,Positive,Negative_Probability,Neutral_Probability,Positive_Probability,Aspect_Category
English,Professor,postdoc,63,13,34,16,0.2961795671828209,0.4353518379586084,0.2684685849392461,postdoc
German,Others,postdoc,93,26,62,5,0.3295821768622244,0.5424321036265102,0.1279857186099854,postdoc
German,PostDoc,postdoc,226,61,153,12,0.3336768421319733,0.5389674715368094,0.1273556840812078,postdoc
German,Professor,postdoc,200,66,125,9,0.3763505783583969,0.5049992244131863,0.118650193652138,postdoc
German,Unknown,postdoc,88,36,48,4,0.412509812338447,0.4780083701691844,0.1094818236094645,postdoc
English,PostDoc,precarity,73,55,14,4,0.6431579850103757,0.2607670250565629,0.096074986284318,nachwuchs
English,PostDoc,problem,83,61,15,7,0.5935083088206957,0.2920192656926361,0.1144724247797605,jahr
German,Others,problem,217,158,50,9,0.6005566592761723,0.3282415530373973,0.0712017852057646,jahr
German,PD,problem,71,47,24,0,0.5899685171078628,0.3495077367504717,0.0605237484371787,jahr
German,PhD Student,problem,89,69,18,2,0.6495494926243686,0.2906376870160692,0.0598128201816691,jahr
German,PostDoc,problem,367,279,81,7,0.6322593533964346,0.3072775559606441,0.0604630934724162,jahr
German,Professor,problem,296,230,59,7,0.6495598063779038,0.2899217203108442,0.0605184736258878,jahr
German,Unknown,problem,232,182,43,7,0.6579754715143092,0.2744102741687976,0.0676142559507219,jahr
English,PostDoc,scholar,82,37,35,10,0.4641962585425594,0.36033292896137,0.1754708128367982,wissenschaft
English,Unknown,scholar,55,24,27,4,0.4419960238716819,0.3831572725014253,0.1748467134142463,wissenschaft
English,PostDoc,scientist,69,24,40,5,0.4096325782492109,0.4220178046304246,0.1683496162160366,wissenschaft
English,PostDoc,student,73,19,41,13,0.3463598349935387,0.408502786152371,0.2451373753711989,hochschule
English,Professor,student,61,20,26,15,0.3931073709772747,0.3427315853902551,0.2641610415102761,hochschule
English,PostDoc,system,186,79,93,14,0.4733751597664049,0.3629601230063746,0.1636647161757272,system
English,Professor,system,102,49,43,10,0.5155787258682882,0.3319248062759345,0.1524964663583565,system
German,Others,system,194,100,73,21,0.4885138972499168,0.3581143329592095,0.1533717685379087,system
German,PD,system,71,48,20,3,0.6168640071237591,0.3069008477556872,0.0762351382340133,system
German,PhD Student,system,86,50,25,11,0.5514192718925864,0.3173011214970502,0.1312796051267447,system
German,PostDoc,system,397,225,150,22,0.5384339978331958,0.3528319855903273,0.1087340113685773,system
German,Professor,system,329,180,134,15,0.5184550490513399,0.3725787412975334,0.1089662096171574,system
German,Unknown,system,198,114,69,15,0.5513366018280839,0.3289125750236439,0.1197508253025436,system
English,PostDoc,thing,59,22,25,12,0.4122055571968272,0.3656326843962326,0.2221617612324781,jahr
English,PostDoc,thread,73,12,40,21,0.2456456491187826,0.4245053183236351,0.3298490336547567,thema
German,Others,thread,79,14,37,28,0.2516879650139355,0.4196143707708467,0.3286976618810168,thema
German,PostDoc,thread,175,27,90,58,0.2454363212202276,0.4001560950492109,0.3544075831877333,thema
German,Professor,thread,94,24,43,27,0.2854313083151553,0.3994202513564774,0.3151484404175363,thema
English,PostDoc,way,64,22,27,15,0.3765383695426862,0.3479957855888642,0.2754658382036722,track
English,PostDoc,work,300,77,167,56,0.3317675284482538,0.4006802248582244,0.2675522441230714,arbeit
English,Professor,work,138,52,58,28,0.3854600986182365,0.3647046898748132,0.2498352076331881,arbeit
English,Unknown,work,128,48,62,18,0.4080657818267355,0.3868179200799204,0.2051162978677893,arbeit
English,Professor,colleague,54,15,19,20,0.3137575328626014,0.331405989618765,0.3548364798641867,arbeit
English,Professor,professor,59,16,33,10,0.3205759964125641,0.4504543254309792,0.2289696713846365,professur
German,Others,professor,69,20,43,6,0.3819470513018144,0.4770798563309338,0.1409730941894045,professur
German,PostDoc,professor,164,71,78,15,0.4367146129015742,0.4136843273825035,0.1496010627086478,professur
German,Professor,professor,102,43,51,8,0.4309335937540905,0.4347107692749477,0.1343556379205455,professur
German,Unknown,professor,78,40,33,5,0.4640410751677476,0.4134008969920568,0.122558031995327,professur
English,Unknown,passport,61,41,17,3,0.5856228547750927,0.3210632110350445,0.0933139358387618,nachwuchs
German,Others,antwort,70,26,37,7,0.3863387987815908,0.434408830425569,0.1792523805850318,forschung
German,PostDoc,antwort,91,29,47,15,0.3470865597559527,0.4292774743267468,0.2236359640648895,forschung
German,Professor,antwort,87,32,43,12,0.3966828074477527,0.4112010233361146,0.1921161742153009,forschung
German,Others,arbeit,273,91,135,47,0.3629435925188409,0.4287596179083699,0.2082967901834365,arbeit
German,PD,arbeit,52,24,21,7,0.458503358066082,0.3805128632543179,0.1609837764050238,arbeit
German,PhD Student,arbeit,86,37,33,16,0.4105363912490565,0.3567267072408698,0.2327369034268654,arbeit
German,PostDoc,arbeit,364,100,194,70,0.3223972593403452,0.4427405736040692,0.2348621686905171,arbeit
German,Professor,arbeit,260,85,144,31,0.3777670442699813,0.4446442733447139,0.1775886837070664,arbeit
German,Unknown,arbeit,200,72,110,18,0.3897174404375255,0.4390859816782176,0.1711965829227119,arbeit
German,Others,arbeitsbedingung,261,80,156,25,0.3960925374836643,0.4533719448051576,0.1505355223035618,arbeit
German,PhD Student,arbeitsbedingung,52,15,29,8,0.3587324645800086,0.488816300407052,0.1524512405113245,arbeit
German,PostDoc,arbeitsbedingung,221,88,113,20,0.4150874978142087,0.4196877022235911,0.1652248005058228,arbeit
German,Professor,arbeitsbedingung,183,64,97,22,0.412439856169328,0.4147997636327652,0.1727603852667443,arbeit
German,Unknown,arbeitsbedingung,156,84,60,12,0.5110186858293719,0.3657323764875913,0.1232489327040428,arbeit
German,Others,arbeitsverhältnis,67,23,43,1,0.3776646391002099,0.5350170370691748,0.0873183164912373,arbeit
German,Others,arbeitsvertrag,57,9,45,3,0.2303377463106523,0.6548604831883782,0.1148017717263938,vertrag
German,PostDoc,arbeitsvertrag,73,12,56,5,0.2405866388588735,0.6278433128170771,0.1315700526872318,vertrag
German,Unknown,arbeitsvertrag,75,17,56,2,0.2876753865182399,0.605563157449166,0.1067614522079626,vertrag
German,Others,bedingung,69,30,35,4,0.4529398817946945,0.409147578952969,0.1379125445028361,chance
German,PostDoc,bedingung,100,47,50,3,0.4688535736501217,0.4216701406240463,0.1094762883055954,chance
German,Professor,bedingung,76,31,37,8,0.4372092034471662,0.4170047737118837,0.1457860279999868,chance
German,Others,befristung,150,50,97,3,0.4106354259202877,0.4920663898686568,0.0972981797593335,befristung
German,PD,befristung,55,21,28,6,0.3890138963068073,0.4625808881087737,0.1484052136371081,befristung
German,PostDoc,befristung,146,56,86,4,0.4359586135267395,0.4518435619873543,0.1121978282686067,befristung
German,Professor,befristung,149,50,91,8,0.3834956849381427,0.5020558362539183,0.114448483608313,befristung
German,Unknown,befristung,108,45,59,4,0.4567227888921344,0.4430456689593416,0.1002315400961648,befristung
German,Others,beitrag,86,16,44,26,0.2326275016029559,0.4686452701341274,0.298727226291978,forschung
German,PostDoc,beitrag,138,22,67,49,0.2482427180528748,0.4273136626065209,0.3244436201369524,forschung
German,Professor,beitrag,88,13,50,25,0.2103578960946337,0.4715627502988685,0.3180793500399555,forschung
German,Unknown,beitrag,59,20,25,14,0.3324827867228601,0.3941090495278269,0.2734081550201369,forschung
German,Others,bereich,69,14,47,8,0.2857060189480367,0.582818057442057,0.1314759229485323,bereich
German,PostDoc,bereich,78,22,49,7,0.3532444505641858,0.5066269164761672,0.1401286279925933,bereich
German,Unknown,bereich,69,24,39,6,0.3733744858291702,0.4768662442979605,0.1497592693329721,bereich
German,Others,berlin,66,14,44,8,0.307371389713477,0.5067829157818448,0.1858456890437412,bereich
German,Others,beschäftigung,66,12,52,2,0.3057079076428304,0.5609707188312755,0.1333213820489066,arbeit
German,PostDoc,beschäftigung,60,20,40,0,0.3807988592733939,0.5149044979363679,0.10429663991866,arbeit
German,Others,bildung,81,23,52,6,0.3462297881918924,0.4884637531215026,0.1653064616990309,research
German,PostDoc,bildung,72,18,49,5,0.3457458676356408,0.4953859085217118,0.1588682280594689,research
German,Unknown,bildung,62,29,31,2,0.4757185520664338,0.410603481314836,0.1136779681959699,research
German,Others,bmbf,73,35,33,5,0.4563797799589699,0.3872820366020889,0.1563381790374851,druck
German,PostDoc,bmbf,110,69,32,9,0.5105717803266916,0.3460017735307867,0.1434264472008428,druck
German,Professor,bmbf,81,45,32,4,0.4881698687871297,0.3926328933901257,0.1191972336145462,druck
German,Others,chance,70,22,30,18,0.3453443061028207,0.3917070672980376,0.2629486258540834,chance
German,PostDoc,chance,103,40,44,19,0.4142663972904381,0.3613927553145631,0.2243408497911199,chance
German,Professor,chance,106,41,53,12,0.4272276870730632,0.3772044904740914,0.195567822118975,chance
German,Unknown,chance,70,36,18,16,0.4645701477570193,0.3051576890583549,0.2302721671094851,chance
German,Others,daueraufgabe,141,22,103,16,0.2439538811379712,0.6013067373411453,0.1547393794931101,befristung
German,Others,dauerstelle,62,26,35,1,0.4348244212808148,0.4690071563086202,0.0961684182346347,nachwuchs
German,PostDoc,dauerstelle,72,27,40,5,0.4194413339201774,0.4536871772466434,0.126871495352437,nachwuchs
German,Professor,dauerstelle,86,20,63,3,0.3505259903017864,0.5502446279969326,0.0992293801201983,nachwuchs
German,Others,debatte,119,35,67,17,0.321837370393469,0.5105567745739171,0.1676058527943091,thema
German,PostDoc,debatte,135,48,67,20,0.3681123240678399,0.4566749059491687,0.1752127681134475,thema
German,Professor,debatte,100,30,61,9,0.3557092353701591,0.4975314501114189,0.1467593167256563,thema
German,Others,deutschland,147,49,91,7,0.4176883143024379,0.457137032621065,0.1251746495792857,deutschland
German,PhD Student,deutschland,58,20,30,8,0.4236827635302626,0.4029418190234693,0.1733754186666217,deutschland
German,PostDoc,deutschland,206,86,106,14,0.4538937669826074,0.4188145495209734,0.127291684038937,deutschland
German,Professor,deutschland,138,55,68,15,0.4661707553094711,0.3861764061089227,0.1476528382711651,deutschland
German,Unknown,deutschland,112,62,44,6,0.5477749140534017,0.3419705806133736,0.1102545093828146,deutschland
German,Others,diskussion,110,26,65,19,0.283795803294263,0.5116794412108985,0.2045247527178038,thema
